sample,label
10_40_2702078,3
10_40_2702089,3
10_40_2702099,4
10_40_2702135,3
10_40_2702138,3
10_40_2790726,4
10_40_2790787,4
10_40_2790804,3
10_40_2790873,4
10_40_2790884,3
10_40_2790903,3
10_40_2790916,4
10_40_2790923,3
10_40_2790931,4
10_40_2790937,3
10_40_2790943,3
10_40_2790947,3
10_40_2790963,3
10_40_2790982,3
10_40_2791012,3
10_40_2791014,3
10_40_2791041,3
10_40_2811131,1
10_40_2811210,3
10_40_2811239,4
10_40_2811241,4
10_40_2811255,4
10_40_2811260,3
10_40_2811273,4
10_40_2811293,1
10_40_2811299,3
10_40_2811332,3
10_40_2811337,3
10_40_2811398,4
9_33_151346,1
9_33_151387,1
9_33_160806,1
9_33_160883,1
9_33_160889,1
9_33_160893,1
9_33_181189,2
9_33_181710,2
9_33_190573,1
9_33_190721,1
9_33_190722,1
9_33_190755,1
9_33_190769,1
9_33_190864,2
9_33_191004,1
9_33_191033,2
9_33_291346,2
9_33_291476,2
9_33_291529,2
9_33_291535,2
9_33_300338,2
9_33_300374,2
9_33_380605,4
9_33_380620,3
9_33_380624,4
9_33_380631,3
9_33_380652,3
9_33_380684,4
9_33_380717,4
9_33_380725,4
9_33_380726,4
9_33_380739,3
9_33_380746,3
9_33_380757,4
9_33_380778,3
9_33_380786,4
9_33_380796,4
9_33_380807,2
9_33_380808,4
9_33_380815,4
9_33_380817,3
9_33_380825,4
9_33_380831,3
9_33_380832,3
9_33_380835,3
9_33_380837,4
9_33_380839,4
9_33_380841,4
9_33_380843,3
9_33_380851,3
9_33_380866,3
9_33_380872,4
9_33_380889,4
9_33_380922,3
9_33_380927,4
9_33_380937,4
9_33_380948,4
9_33_380972,3
9_33_380984,3
9_33_380998,4
9_33_381018,4
9_33_381088,3
9_33_381091,3
9_33_381105,3
9_33_381107,2
9_33_381116,4
9_33_381133,3
9_33_381139,1
9_33_381190,3
9_33_381219,1
9_33_381372,1
9_33_401059,3
9_33_401100,1
9_33_401115,3
9_33_401200,3
9_33_401231,3
9_33_401266,3
9_33_401269,3
9_33_401277,1
9_33_401284,3
9_33_401302,2
9_33_401321,1
9_33_401357,3
9_33_401369,2
9_33_401376,4
9_33_401385,3
9_33_401390,3
9_33_401391,4
9_33_401407,3
9_33_401419,4
9_33_401434,1
9_33_401445,2
9_33_401457,4
9_33_401461,3
9_33_401482,3
9_33_401496,2
9_33_401498,1
9_33_401519,4
9_33_401520,3
9_33_401525,2
9_33_401533,4
9_33_401538,3
9_33_401548,2
9_33_401557,3
9_33_401558,3
9_33_401561,4
9_33_401585,3
9_33_401587,2
9_33_401594,3
9_33_401601,2
9_33_401612,4
9_33_401616,3
9_33_401623,3
