sample,label
10_40_2340222,3
10_40_2380192,2
10_40_2450616,2
10_40_2461365,1
10_40_2480352,1
10_40_2481297,1
10_40_2490512,2
10_40_2490546,2
10_40_2490713,2
10_40_2570724,2
10_40_2591162,5
10_40_2591173,4
10_40_2680775,4
10_40_2680789,4
10_40_2680809,5
10_40_2680813,4
10_40_2680823,4
10_40_2680827,5
10_40_2680831,4
10_40_2680844,4
10_40_2680852,5
10_40_2680854,4
10_40_2680860,4
10_40_2680864,5
10_40_2680920,2
10_40_2680928,4
10_40_2680938,4
10_40_2680973,4
10_40_2680976,4
10_40_2681088,5
10_40_2701514,2
10_40_2701591,5
10_40_2701621,4
10_40_2701698,5
10_40_2701726,3
10_40_2701728,5
10_40_2701731,5
10_40_2701747,5
10_40_2701749,5
10_40_2701750,3
10_40_2701753,5
10_40_2701757,5
10_40_2701759,5
10_40_2701764,5
10_40_2701771,4
10_40_2701772,4
10_40_2701776,5
10_40_2701778,5
10_40_2701783,5
10_40_2701784,5
10_40_2701787,5
10_40_2701789,5
10_40_2701792,5
10_40_2701796,5
10_40_2701797,5
10_40_2701803,5
10_40_2701813,5
10_40_2701851,5
10_40_2701856,5
10_40_2701860,5
10_40_2701864,5
10_40_2701868,5
10_40_2701879,5
10_40_2701880,5
10_40_2701884,4
10_40_2701893,5
10_40_2701895,5
10_40_2701935,5
10_40_2701940,2
10_40_2702004,5
10_40_2702019,5
10_40_2702039,5
10_40_2702041,5
10_40_2702044,3
10_40_2702077,5
10_40_2702078,5
10_40_2702089,5
10_40_2702099,4
10_40_2702135,5
10_40_2702138,5
10_40_2781354,4
10_40_2790726,4
10_40_2790787,4
10_40_2790804,5
10_40_2790873,4
10_40_2790884,5
10_40_2790903,5
10_40_2790916,4
10_40_2790923,5
10_40_2790931,4
10_40_2790937,5
10_40_2790943,5
10_40_2790947,5
10_40_2790963,5
10_40_2790982,5
10_40_2791012,5
10_40_2791014,5
10_40_2791041,5
10_40_2791042,3
10_40_2811131,2
10_40_2811210,5
10_40_2811239,4
10_40_2811241,4
10_40_2811255,4
10_40_2811260,5
10_40_2811273,5
10_40_2811275,3
10_40_2811293,2
10_40_2811299,5
10_40_2811332,5
10_40_2811337,5
10_40_2811398,4
9_33_151346,2
9_33_151387,2
9_33_160806,2
9_33_160883,2
9_33_160889,2
9_33_160893,2
9_33_181189,3
9_33_181710,3
9_33_190573,2
9_33_190721,2
9_33_190722,2
9_33_190755,2
9_33_190769,2
9_33_190864,3
9_33_191004,2
9_33_191033,3
9_33_291346,3
9_33_291476,3
9_33_291529,3
9_33_291535,3
9_33_291644,2
9_33_300338,3
9_33_300374,3
9_33_380605,4
9_33_380620,5
9_33_380624,4
9_33_380631,5
9_33_380652,5
9_33_380684,4
9_33_380717,4
9_33_380725,4
9_33_380726,4
9_33_380739,5
9_33_380746,5
9_33_380757,4
9_33_380778,5
9_33_380786,4
9_33_380796,4
9_33_380807,3
9_33_380808,4
9_33_380815,4
9_33_380817,5
9_33_380825,4
9_33_380831,5
9_33_380832,5
9_33_380835,5
9_33_380837,4
9_33_380839,4
9_33_380841,4
9_33_380843,5
9_33_380851,5
9_33_380866,5
9_33_380872,4
9_33_380889,4
9_33_380922,5
9_33_380927,4
9_33_380937,4
9_33_380948,4
9_33_380972,5
9_33_380984,5
9_33_380998,4
9_33_381018,4
9_33_381088,4
9_33_381091,5
9_33_381105,5
9_33_381107,3
9_33_381116,4
9_33_381133,5
9_33_381139,2
9_33_381190,5
9_33_381219,2
9_33_381372,2
9_33_401059,5
9_33_401100,2
9_33_401115,5
9_33_401156,2
9_33_401200,5
9_33_401231,5
9_33_401266,5
9_33_401269,5
9_33_401277,2
9_33_401284,5
9_33_401302,3
9_33_401321,2
9_33_401351,3
9_33_401357,5
9_33_401369,3
9_33_401376,4
9_33_401385,5
9_33_401390,5
9_33_401391,4
9_33_401407,5
9_33_401419,4
9_33_401434,2
9_33_401445,3
9_33_401457,4
9_33_401461,5
9_33_401482,5
9_33_401496,3
9_33_401498,2
9_33_401519,4
9_33_401520,5
9_33_401525,5
9_33_401533,4
9_33_401538,5
9_33_401548,3
9_33_401557,5
9_33_401558,5
9_33_401561,4
9_33_401585,5
9_33_401587,3
9_33_401594,5
9_33_401601,4
9_33_401612,4
9_33_401616,5
9_33_401623,5
9_33_401633,4
9_33_401644,5
9_33_401650,2
9_33_401674,4
9_33_401707,3
9_33_401710,5
9_33_401734,5
9_33_401738,4
9_33_401745,5
9_33_401746,5
9_33_401749,5
9_33_401765,5
9_33_401766,5
9_33_401782,5
9_33_401805,5
9_33_401825,2
9_33_401849,2
9_33_491019,4
9_33_491060,5
9_33_491146,5
9_33_510854,5
9_33_510871,4
9_33_510891,5
9_33_510905,4
9_33_510935,5
9_34_930220,3
9_34_930224,2
9_34_930717,2
9_34_930735,3
9_34_1031353,2
9_34_1040517,1
9_34_1041074,3
9_34_1041090,2
9_34_1041187,1
9_34_1060864,1
9_34_1061460,3
9_34_1070071,3
9_34_1070451,2
9_34_1070778,2
9_34_1070793,3
9_34_1070807,2
9_34_1070828,2
9_34_1070833,2
