sample,label
5_17_170234,5
5_17_170237,5
5_17_170238,5
5_17_170240,5
5_17_170243,5
5_17_170246,5
5_17_170249,5
5_17_170256,5
5_17_170258,5
5_17_170261,5
5_17_170262,5
5_17_170263,5
5_17_170270,5
5_17_170273,5
5_17_170277,5
5_17_170279,5
5_17_170283,5
5_17_170285,5
5_17_170287,5
5_17_170290,5
5_17_170297,5
5_17_170298,6
5_17_170309,5
5_17_170310,5
5_17_170313,5
5_17_170320,5
5_17_170322,5
5_17_170323,2
5_17_170326,5
5_17_170327,5
5_17_170328,5
5_17_170336,5
5_17_170337,5
5_17_170339,5
5_17_170342,5
5_17_170345,5
5_17_170346,5
5_17_170349,8
5_17_170351,5
5_17_170352,5
5_17_170356,5
5_17_170359,5
5_17_170360,6
5_17_170361,5
5_17_170362,5
5_17_170365,5
5_17_170368,1
5_17_170369,5
5_17_170370,5
5_17_170375,5
5_17_170376,6
5_17_170377,6
5_17_170381,5
5_17_170385,5
5_17_170387,5
5_17_170389,5
5_17_170390,5
5_17_170392,5
5_17_170394,5
5_17_170400,5
5_17_170403,6
5_17_170405,5
5_17_170406,5
5_17_170407,5
5_17_170408,5
5_17_170419,5
5_17_170421,5
5_17_170424,5
5_17_170425,5
5_17_170428,5
5_17_170433,5
5_17_170434,5
5_17_170438,5
5_17_170440,1
5_17_170442,5
5_17_170446,5
5_17_170447,2
5_17_170449,5
5_17_170450,5
5_17_170456,5
5_17_170457,5
5_17_170458,5
5_17_170466,2
5_17_170468,5
5_17_170469,5
5_17_170471,5
5_17_170474,5
5_17_170480,5
5_17_170481,5
5_17_170482,5
5_17_170483,5
5_17_170484,5
5_17_170485,5
5_17_170489,5
5_17_170492,5
5_17_170498,5
5_17_170500,5
5_17_170502,2
5_17_170505,5
5_17_170506,5
5_17_170510,5
5_17_170512,5
5_17_170513,5
5_17_170514,5
5_17_170516,5
5_17_170519,5
5_17_170526,5
5_17_170527,5
5_17_170530,5
5_17_170531,5
5_17_170533,5
5_17_170541,5
5_17_170542,5
5_17_170544,5
5_17_170545,6
5_17_170548,5
5_17_170549,5
5_17_170552,5
5_17_170554,5
5_17_170559,5
5_17_170560,5
5_17_170561,5
5_17_170562,5
5_17_170566,1
5_17_170570,5
5_17_170571,5
5_17_170577,5
5_17_170580,5
5_17_170583,5
5_17_170586,5
5_17_170597,6
5_17_170599,5
5_17_170611,5
5_17_170612,5
5_17_170617,5
5_17_170620,5
5_17_170622,5
5_17_170623,5
5_17_170624,5
5_17_170625,5
5_17_170628,5
5_17_170632,5
5_17_170637,5
5_17_170640,5
5_17_170641,2
5_17_170645,5
5_17_170646,5
5_17_170653,5
5_17_170656,5
5_17_170664,5
5_17_170669,5
5_17_170674,2
5_17_170675,5
5_17_170676,5
5_17_170677,5
5_17_170688,2
5_17_170691,5
5_17_170694,5
5_17_170697,5
5_17_170698,5
5_17_170700,5
5_17_170701,5
5_17_170706,5
5_17_170707,6
5_17_170709,5
5_17_170711,5
5_17_170712,5
5_17_170716,5
5_17_170718,5
5_17_170723,5
5_17_170726,5
5_17_170727,5
5_17_170728,5
5_17_170742,5
5_17_170748,5
5_17_170749,2
5_17_170751,6
5_17_170754,5
5_17_170755,5
5_17_170757,5
5_17_170764,5
5_17_170766,5
5_17_170770,5
5_17_170775,4
5_17_170782,6
5_17_170785,5
5_17_170786,2
5_17_170788,6
5_17_170789,5
5_17_170791,5
5_17_170794,4
5_17_170796,5
5_17_170798,5
5_17_170800,5
5_17_170806,2
5_17_170816,5
5_17_170822,6
5_17_170823,5
5_17_170827,2
5_17_170828,5
5_17_170829,5
5_17_170830,2
5_17_170832,5
5_17_170833,2
5_17_170841,5
5_17_170842,5
5_17_170843,5
5_17_170846,6
5_17_170849,6
5_17_170852,6
5_17_170855,2
5_17_170865,6
5_17_170868,5
5_17_170870,6
5_17_170877,5
5_17_170881,6
5_17_170883,5
5_17_170884,6
5_17_170886,5
5_17_170895,6
5_17_170906,5
5_17_170908,6
5_17_170911,5
5_17_170917,5
5_17_170924,2
5_17_170929,6
5_17_170944,5
5_17_170949,6
5_17_170954,5
5_17_170958,6
5_17_170972,2
5_17_170983,6
5_17_170989,5
5_17_170995,6
5_17_171004,6
5_17_171007,5
5_17_171008,5
5_17_171029,5
5_17_171031,4
5_17_171035,6
5_17_171061,3
5_17_171065,6
5_17_171073,5
5_17_180117,6
5_17_180140,6
5_17_180145,5
5_17_180164,6
5_17_180194,6
5_17_180218,6
5_17_180238,6
5_17_180322,5
5_17_180329,6
5_17_180355,5
5_17_180370,5
5_17_180408,2
5_17_180411,5
5_17_180431,2
5_17_180445,5
5_17_180457,5
5_17_180473,6
5_17_180489,6
5_17_180492,6
5_17_180505,6
5_17_180507,5
5_17_180509,5
5_17_180511,6
